ASSESSID,ASSESSORID,STOCKID,RECORDER,DATERECORDED,DATELOADED,ASSESSYEAR,ASSESSSOURCE,CONTACTS,NOTES,PDFFILE,ASSESS,REFPOINTS,ASSESSMETHOD,ASSESSCOMMENTS,XLSFILENAME,MOSTRECENT
HAWG-HERRVIaVIIbc-1969-2000-MINTO,HAWG,HERRVIaVIIbc,MINTO,2008-04-15,2011-07-25,1969-2000,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,No final assessment is agreed upon for post-2000 data.,ICES-HAWG-2007.pdf,1,1,VPA,"No final assessment was agreed upon by the working group. Three assessment results were presented and only differ post-2000. Only the pre-2000 terminal F=0.4 estimates are presented here, as F=0.4 is the mid value and the results between the different terminal F's don't differ during this period. There are results to 2006 but these were not agreed upon.",../spreadsheets/MINTO-HERRVIaVIIbc-2007-editedDR-QAQC.xls,yes
SEFSC-RGROUPGM-1986-2005-JENSEN,SEFSC,RGROUPGM,JENSEN,2008-11-22,2011-07-25,1986-2005,http://www.sefsc.noaa.gov/sedar/download/S12SAR1%20Gulf%20Red%20Grouper%20Completev2.pdf?id=DOCUMENT,,from Fogarty database,JENSEN-RGROUPGM-2006.pdf,1,1,ASAP,,../spreadsheets/JENSEN-RGROUPGM-2006-editedDR-QAQC.xls,yes
SEFSC-VSNAPGM-1981-2004-JENSEN,SEFSC,VSNAPGM,JENSEN,2008-11-19,2011-07-25,1981-2004,http://www.sefsc.noaa.gov/sedar/download/S9SAR3%20VS%20full%202.pdf?id=DOCUMENT,,from Fogarty database,JENSEN_VSNAPGM_2006.pdf,1,1,ASPM,"catch, recruitment, and F time series are from assessment, not Fogarty spreadsheet",../spreadsheets/JENSEN-VSNAPGM-2006-editedDR-QAQC.xls,yes
AFSC-ARFLOUNDBSAI-1970-2008-STANTON,AFSC,ARFLOUNDBSAI,STANTON,2009-04-03,2011-07-25,1970-2008,http://www.afsc.noaa.gov/refm/Stocks/assessments.htm,Thomas Wilderbuer,,AFSC-ARFLOUNDBSAI-2007-Arrowtooth flounder BSAI.pdf,1,1,AD-CAM,,../spreadsheets/STANTON-ARFLOUNDBSAI-2008-editedDR-QAQC.xls,yes
NWWG-CODFAPL-1959-2006-MINTO,NWWG,CODFAPL,MINTO,2008-04-08,2011-07-25,1959-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-NWWG-2007.pdf,1,1,VPA,"The F3-7 (Figure 2.2.7.1.6) seems to be a problematic measure of fishing mortality for two reasons. Firstly, the fishing mortalities for ages 6-7 are generally overestimated in the terminal year leading to an overestimation of F3-7 for the terminal year. Secondly, the proportion of 6-7 year old cod in the stock or catch is small (normally less than 20%) and therefore get a disproportionate influence on the F3-7.",../spreadsheets/MINTO-CODFAPL-2007-editedDR-QAQC.xls,yes
NWFSC-WROCKPCOAST-1955-2006-BRANCH,NWFSC,WROCKPCOAST,BRANCH,2008-11-23,2011-07-25,1955-2006,http://www.pcouncil.org/groundfish/gfsafe1008/WidowStockAssessment_Update_2007_Final_Oct_2007.pdf,,,NWFSC-WROCKPCOAST-2007-widow.pdf,1,1,AD-CAM,Purpose built code for this assessment,../spreadsheets/BRANCH-WROCKPCOAST-2007-editedDR.xls,yes
IATTC-YFINEPAC-1975-2007-JENSEN,IATTC,YFINEPAC,JENSEN,2008-04-21,2011-07-25,1975-2007,http://www.iattc.org/PDFFiles2/SAR8-YFT-ENG.pdf,NULL,Olaf Jensen - first spreadsheet,SAR8-YFT-ENG.pdf,1,1,A-SCALA,no comments,../spreadsheets/JENSEN-YFINEPAC-2006-editedDR.xls,yes
NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD,NEFSC,BLUEFISHATLC,SHEPHERD,2009-04-30,2011-07-25,1981-2007,http://www.asmfc.org,Gary Shepherd  gary.shepherd@noaa.gov,,final-2005-SAW-41-assessment.pdf,1,1,ASAP,,../spreadsheets/SHEPHERD-BLUEFISH-2008-editedDR.xls,yes
AFSC-ATKABSAI-1976-2009-STANTON,AFSC,ATKABSAI,STANTON,2009-04-08,2011-07-25,1976-2009,http://www.afsc.noaa.gov/refm/Stocks/assessments.htm,contact details ,,2008_SAFE_BSAIatka.pdf,1,1,AD-CAM,no comments,../spreadsheets/STANTON-ATKABSAI-2008-editedDR-QAQC.xls,yes
NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN,NZMFishMIDDEPTHSWG,NZLINGLIN72,JENSEN,2009-03-09,2011-07-25,1972-2007,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,base model,CORDUEperscomm.pdf,1,1,CASAL,,../spreadsheets/JENSEN-PINKLINGNZ72-2007-v2-editedDR.xls,yes
ICCAT-SWORDSATL-1970-2005-JENSEN,ICCAT,SWORDSATL,JENSEN,2009-04-10,2011-07-25,1970-2005,data received from contact.  Report online at: http://www.iccat.int/Documents/SCRS/DetRep/DET_swo.pdf,John Walter - NMFS,,JENSEN-SWORDSATL-2007.pdf,1,1,ASPIC,,../spreadsheets/JENSEN-SWORDSATL-2007-editedDR-QAQC.xls,yes
WGNSSK-PLAICNS-1956-2006-MINTO,WGNSSK,PLAICNS,MINTO,2008-04-13,2011-07-25,1956-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-WGNSSK-2007.pdf,1,1,XSA,Estimates of discards are provided in the assessment. Fbar and fbar hc refer to the average fishing mortality and the amount of that that is landed for human consumption,../spreadsheets/MINTO-PLAICNS-2007-editedDR-QAQC.xls,yes
AFSC-SRAKEROCKBSAI-1977-2008-STANTON,AFSC,SRAKEROCKBSAI,STANTON,2009-04-01,2011-07-25,1977-2008,http://www.afsc.noaa.gov/REFM/docs/2006/BSAIsrre.pdf,Paul Spencer,Assessed together with rougheye rockfish until 2004,2008_SAFE_BSAIshortraker.pdf,1,1,AD-CAM,"Assesed as a population complex with other rockfish, notably rougheye rockfish until 2004",../spreadsheets/STANTON-SRAKEROCKBSAI-2008-editedDR-QAQC.xls,yes
WGBFAS-CODBA2224-1969-2007-JENNINGS,WGBFAS,CODBA2224,JENNINGS,2008-11-18,2011-07-25,1969-2007,http://www.ices.dk/,NULL,NULL,ICES-WGBFAS-2007.pdf,1,1,XSA,"The quality of the commercial landings and catch-at-age data for this stock deteriorated in the 1990s following reductions in the TAC without associated control of fishing effort. The WG considers the international landings figures from 1993 onwards to have inaccuracies that lead to retrospective underestimation of fishing mortality and over estimation of spawning stock biomass and other problems with an analytical assessment. The assessment is, however, consistent, despite problems with discards.",../spreadsheets/JENNINGS-ICES-COD2224-1970-2007-editedDR-QAQC.xls,yes
AFSC-PCODGA-1964-2008-MELNYCHUK,AFSC,PCODGA,MELNYCHUK,2009-04-16,2011-07-25,1964-2008,http://www.afsc.noaa.gov/refm/docs/2008/GOApollock.pdf,"Grant Thompson, Grant.Thompson@noaa.gov",catches since 1980 include discards,AFSC-PCODGA-2008-Pacific-cod-GA.pdf,1,1,SS2,,../spreadsheets/MELNYCHUK-PCODGA-2008-editedDR-QAQC.xls,yes
NWFSC-DKROCKPCOAST-1928-2007-BRANCH,NWFSC,DKROCKPCOAST,BRANCH,2008-11-23,2011-07-26,1928-2007,http://www.pcouncil.org/groundfish/gfsafe1008/Darkblotched_2007_Final.pdf,"Owen Hamel, Owen.Hamel@noaa.gov",,NWFSC-DKROCKPCOAST-2008-Darkblotched rockfish.pdf,1,1,SS2,,../spreadsheets/BRANCH-DKROCKPCOAST-2007-editedDR-QAQC-summarybiomass.xls,yes
NEFSC-ATHAL5YZ-1800-2007-COL,NEFSC,ATHAL5YZ,COL,2009-04-15,2011-07-25,1800-2007,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,Stock under rebuilding program with 2056 deadline.,AtlanticHalibut5YZ2008.pdf .pdf,1,1,Unknown,"Replacement Yield Model (simple production model), assumed linear increase in catch from 10 to 6000 mt during years 1800 to 1892",../spreadsheets/COL-ATLHALIBUT-2008-editedDR.xls,yes
NEFSC-YELLGB-1935-2008-BAUM,NEFSC,YELLGB,BAUM,2008-11-04,2011-07-25,1935-2008,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,Stock under rebuilding program with 2014 deadline. Georges Bank yellowtail flounder is a transboundary stock (TRAC) U.S./Canada,NMFS-GB-Limandaferruginea-2008.pdf,1,1,VPA,_Major Change_ model chosen as final model,../spreadsheets/BAUM-YELLGB-2008-editedDR.xls,yes
WGHMM-HAKESOTH-1982-2007-JENNINGS,WGHMM,HAKESOTH,JENNINGS,2008-11-21,2011-07-25,1982-2007,http://www.ices.dk,NULL,NULL,ICES-WGHMM-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-HKESOTH-1982-2007-editedDR-QAQC.xls,yes
NEFSC-SCALLMATLC-1964-2006-HART,NEFSC,SCALLMATLC,HART,2009-04-22,2011-07-25,1964-2006,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0716/,,,SeaScallop2007.pdf,1,1,AD-CAL,CASA model,../spreadsheets/HART-SEASCALLOPMA-2007-editedDR.xls,yes
MARAM-CRLOBSTERSA7-1910-2008-Johnston,MARAM,CRLOBSTERSA7,Johnston,2009-02-12,2011-07-25,1910-2008,Assessment conducted personally,"Susan Johnston, susan.holloway@uct.ac.za",,Johnston-SAWestRockLobster-2007.pdf,1,0,SCA,length based,../spreadsheets/Johnston-SAWestRockLobster-A7-2007-editedDR.xls,yes
NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN,NZMFishLOBSTERWG,RROCKLOBSTERCRA2,JENSEN,2009-04-07,2011-07-29,1945-2001,received from contact,Pall Starr - paul@starrfish.net,fpcs.fish.govt.nz/science/documents//2003%20FARs/03_41_FAR.pdf,03_41_FAR.pdf,1,0,MSLM,,../spreadsheets/JENSEN-RROCKLOBSTERCRA2-2001-editedDR.xls,yes
NEFSC-MONKGOMNGB-1964-2006-RICHARDS,NEFSC,MONKGOMNGB,RICHARDS,2009-04-22,2011-07-25,1964-2006,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0721/,,Stock under rebuilding program with 2056 deadline.,crd0721.pdf,1,1,Unknown,"Replacement Yield Model (simple production model), assumed linear increase in catch from 10 to 6000 mt during years 1800 to 1892",../spreadsheets/RICHARDS-MONKFISHGOMNGB-2007-editedDR.xls,yes
NWFSC-BLUEROCKCAL-1916-2007-BRANCH,NWFSC,BLUEROCKCAL,BRANCH,2008-11-21,2011-07-25,1916-2007,http://www.pcouncil.org/groundfish/gfsafe1008/KeySAFE_BlueRF_Jan08.pdf,,,NWFSC-BLUEROCKCAL-2007-Blue rockfish CA.pdf,1,1,SS2,,../spreadsheets/BRANCH-BLUEROCKCAL-2007-editedDR-QAQC.xls,yes
WGNSDS-HADVIa-1977-2006-MINTO,WGNSDS,HADVIa,MINTO,2008-04-14,2011-07-25,1977-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-WGNSDS-2007.pdf,1,1,TSA,Commercial catch data were not used for the period 1995-2006 because of misreporting of the catches. Standard errors of estimates are also presented. Flim is not defined for this population.,../spreadsheets/MINTO-HADVIa-2007-editedDR-QAQC-revised.xls,yes
NMFS-MENATLAN-1940-2005-STANTON,NMFS,MENATLAN,STANTON,2009-06-10,2011-07-27,1940-2005,http://www.asmfc.org/speciesDocuments/menhaden/reports/stockAssessments/2006StockAssessmentReport.pdf,contact details ,,Atl.Menhaden-ASMFC-2006.pdf,1,1,AD-CAM,no comments,../spreadsheets/STANTON-ATLMENHADEN-editedDR-QAQCfinal.xls,yes
NAFO-SC-COD3M-1959-2008-BAUM,NAFO-SC,COD3M,BAUM,2009-05-28,2011-07-25,1959-2008,http://www.nafo.int/publications/frames/science.html,,"Moratorium since 1999, with increasing SSB trend",NAFO-3M-COD-2008.pdf,1,1,hybrid,A Bayesian VPA to incorporate fact that in most recent years don't have catch at age (b/c stock under moratorium),../spreadsheets/BAUM-COD3M-2008-editedDR.xls,yes
CSIRO-WAREHOUESE-1984-2006-FULTON,CSIRO,WAREHOUESE,FULTON,2008-04-30,2011-07-25,1984-2006,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,WAREHOUSE.pdf,1,1,SS2,Used 2007_1.00 of SS2,../spreadsheets/Fulton-east_blue_warehou-australia-2007_v2-editedDR-QAQC.xls,yes
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,2008-04-30,2011-07-25,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes
NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN,NZMFishSHELLFISHWG,PAUAPAU7,JENSEN,2009-03-11,2011-07-25,1964-2008,received from contact,Paul Breen - p.breen@niwa.co.nz,,ref09-34-FAR.pdf,1,0,LBBM,"recruitment timeseries available, but age at recruitment is undetermined (size-based approach)",../spreadsheets/JENSEN-BFOOTABALONENZ7-2008-editedDR.xls,yes
NWFSC-CROCKPCOAST-1916-2007-BRANCH,NWFSC,CROCKPCOAST,BRANCH,2008-11-10,2011-07-25,1916-2007,http://www.pcouncil.org/groundfish/gfsafe1008/2007_canary_SAFE.pdf,"Ian Stewart, NWFSC, NOAA, Ian.Stewart@noaa.gov",,NWFSC-CROCKPCOAST-2007-Canary.pdf,1,1,SS2,,../spreadsheets/BRANCH-CROCKPCOAST-2007-editedDR.xls,no
WGNPBW-BWHITNEA-1980-2007-JENNINGS,WGNPBW,BWHITNEA,JENNINGS,2008-11-25,2011-07-25,1980-2007,http://www.ices.dk,NULL,NULL,ICES-WGNPBW-2007.pdf,1,1,SMS,NULL,../spreadsheets/JENNINGS-ICES-WHBCOMB-1972-2007-editedDR-QAQC.xls,yes
WGHMM-HAKENRTN-1977-2007-JENNINGS,WGHMM,HAKENRTN,JENNINGS,2008-11-20,2011-07-25,1977-2007,http://www.ices.dk,NULL,NULL,ICES-WGHMM-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-HKENRTN-1978-2007-editedDR-QAQC.xls,yes
SEFSC-BTIPSHARATL-1981-2004-FAUCONNET,SEFSC,BTIPSHARATL,FAUCONNET,2009-05-05,2011-07-25,1981-2004,http://www.sefsc.noaa.gov/sedar/,,,LargeCoastalAtl2006-SEFSC.pdf,1,1,SPASM,,../spreadsheets/FAUCONNET-BTIPSHARATL-2006-editedDR.xls,yes
MARAM-CHAKESA-1917-2008-DEDECKER,MARAM,CHAKESA,DEDECKER,2009-02-13,2011-07-25,1917-2008,received from contact,"Rebecca Rademeyer, Rebecca.Rademeyer@gmail.com ",,SA-Mparadoxus-2008-IWS-DEC08-H-5.pdf,1,0,ASPM,,../spreadsheets/DEDECKER-SA-Mcapensis-2008-editedOJ.xls,yes
MARAM-SARDSA-1984-2006-deMoor,MARAM,SARDSA,deMoor,2009-01-16,2011-07-25,1984-2006,Assessment conducted personally,"Carryn de Moor, c.l.demoor@telkomsa.net",,deMoorSASardineAssessment-Sep07.pdf,1,1,SCA,,../spreadsheets/deMoor-SASardine-2007-editedDR.xls,yes
PFMC-LINGCODSPCOAST-1956-2005-STANTON,PFMC,LINGCODSPCOAST,STANTON,2009-05-20,2011-07-25,1956-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details ,SOUTH part of PCOAST only. Separate assessment for North ,2005_SAFE_Wclingcod.pdf,1,1,SS2,no comments,../spreadsheets/STANTON-SouthLingcod-2005-editedDR.xls,yes
NEFSC-BUTTERGOMCHATT-1965-2005-OVERHOLTZ,NEFSC,BUTTERGOMCHATT,OVERHOLTZ,2009-04-17,2011-07-25,1965-2005,http://www.nefsc.noaa.gov/publications/crd/crd0404/index.htm,,,butterfish-assessment-2004.pdf,1,1,Unknown,"Replacement Yield Model (simple production model), assumed linear increase in catch from 10 to 6000 mt during years 1800 to 1892",../spreadsheets/OVERHOLTZ-BUTTERFISH-2003-editedOJ.xls,yes
AFSC-SNOWCRABBS-1979-2008-JENSEN,AFSC,SNOWCRABBS,JENSEN,2009-04-13,2011-07-25,1979-2008,http://www.fakr.noaa.gov/npfmc/membership/plan_teams/CPT/CRABSAFE2008.pdf,,,CRABSAFE2008.pdf,1,1,SSPDM,,../spreadsheets/JENSEN-SNOWCRABBS-2008-editedDR-QAQC.xls,yes
ICCAT-SWORDNATL-1978-2007-JENSEN,ICCAT,SWORDNATL,JENSEN,2009-04-10,2011-07-25,1978-2007,data received from contact.  Report online at: http://www.iccat.int/Documents/SCRS/DetRep/DET_swo.pdf,John Walter - NMFS,,JENSEN-SWORDSATL-2007.pdf,1,1,ASPIC,same pdf as SWORDSATL - stock and recruitment timeseries from base case VPA,../spreadsheets/JENSEN-SWORDNATL-2007-editedDR-QAQC.xls,yes
TAFI-TASGIANTCRABTAS-1990-2007-JENSEN,TAFI,TASGIANTCRABTAS,JENSEN,2008-11-29,2011-07-25,1990-2007,http://www.tafi.org.au/publications/GC_2006-07_Assessment_report_FINALcover.pdf,"Phillipe Ziegler (Philippe.Ziegler@utas.edu.au), Malcolm Haddon (Malcolm.Haddon@utas.edu.au)",,JENSEN_TASGIANTCRAB_2008.pdf,1,0,SBM,years represent the end year of a fishing season,../spreadsheets/JENSEN-TASGIANTCRAB-2008-editedDR.xls,yes
CSIRO-GTPRAWNNAUST-1970-2006-FULTON,CSIRO,GTPRAWNNAUST,FULTON,2008-04-30,2011-08-11,1970-2006,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,tiger_prawn_stocks2006.pdf,1,1,Delay difference,,../spreadsheets/Fulton-grooved_tiger_prawn-australia-2007_v2-editedDR-QAQC.xls,yes
WGNSSK-NPOUTNS-1983-2007-MINTO,WGNSSK,NPOUTNS,MINTO,2008-04-13,2011-07-25,1983-2007,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-WGNSSK-2007.pdf,1,1,XSA,No fishing mortality reference points are provided,../spreadsheets/MINTO-NPOUTNS-2007-editedDR-QAQC.xls,yes
DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE,DFO-MAR,HAD4X5Y,PREFONTAINE,2008-06-03,2011-07-25,1960-2003,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details ,The model in this assessment used ages 2-10. The 2003 landings are provisional as they only include landings up to september 19th 2003.,NAFO-HAD4X5Y-2003.pdf,1,1,SPA-ADAPT,no comments,../spreadsheets/PREFONTAINE-HAD4X5Y-2003-editedDR-QAQCjb.xls,yes
NWFSC-SSTHORNHPCOAST-1901-2005-STANTON,NWFSC,SSTHORNHPCOAST,STANTON,2009-05-18,2011-07-25,1901-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details ,,2005-SST-assessment.pdf,1,1,SS2,no comments,../spreadsheets/STANTON-Shortspine-2005-v2-editedDR.xls,yes
IATTC-BIGEYEEPAC-1975-2007-JENSEN,IATTC,BIGEYEEPAC,JENSEN,2008-11-30,2011-07-25,1975-2007,http://www.iattc.org/PDFFiles2/SAR8-BET-ENG.pdf,,,JENSEN_BETEPAC_2008.pdf,1,1,SS2,Stock synthesis 2,../spreadsheets/JENSEN-BETEPAC-2007-editedDR.xls,yes
WGNSSK-PLAICIIIa-1976-2006-MINTO,WGNSSK,PLAICIIIa,MINTO,2008-04-13,2011-07-25,1976-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-WGNSSK-2007.pdf,1,1,XSA,"Blim and Flim cannot be accurately defined for this stock. Final run is without discards, as the runs with discards included was very similar.",../spreadsheets/MINTO-PLAICIIIa-2007-editedDR-QAQC.xls,yes
AFSC-DUSROCKGA-1973-2008-MELNYCHUK,AFSC,DUSROCKGA,MELNYCHUK,2009-04-21,2011-07-25,1973-2008,http://www.afsc.noaa.gov/refm/docs/2008/GOApelshelf.pdf,Chris Lunsford,authors believe catches from 1985-1987 are underestimated,AFSC-DUSROCKGA-2008-Dusky rockfish GA.pdf,1,1,AD-CAM,2008 assessment was only an update. full assessment conducted in 2007. filename: AFSC-DUSROCKGA-2007-Dusky rockfish GA.pdf,../spreadsheets/MELNYCHUK-DUSROCKGA-2008-editedDR.xls,yes
INIDEP-ARGANCHOSARG-1992-2007-Parma,INIDEP,ARGANCHOSARG,Parma,2008-12-20,2011-07-25,1992-2007,URL,Jorge Hansen- jhansen@inidep.edu.ar,,Hansen-ANCHOVY-S-2007.pdf,1,1,ASPM,no comments,../spreadsheets/Parma-ANCHOVY-ARG-S-2007-editedDR-QAQC.xls,yes
AFSC-WPOLLGA-1964-2008-MELNYCHUK,AFSC,WPOLLGA,MELNYCHUK,2009-04-16,2011-07-25,1964-2008,http://www.afsc.noaa.gov/refm/docs/2008/GOApollock.pdf,Martin Dorn,catches from 1986-1990 were adjusted for discards; catches from 1997-2007 include dicards; unsure about 1991-1996,AFSC-WPOLLGA-2008-Walleye pollock GA.pdf,1,1,AD-CAM,,../spreadsheets/MELNYCHUK-WPOLLGA-2008-editedDR.xls,yes
AFSC-RKCRABBB-1960-2008-JENSEN,AFSC,RKCRABBB,JENSEN,2009-04-13,2011-07-25,1960-2008,http://www.fakr.noaa.gov/npfmc/membership/plan_teams/CPT/CRABSAFE2008.pdf,,,CRABSAFE2008.pdf,1,1,LBA,,../spreadsheets/JENSEN-RKCRABBB-2008-editedDR-QAQC.xls,yes
CSIRO-WAREHOUWSE-1984-2006-FULTON,CSIRO,WAREHOUWSE,FULTON,2008-04-30,2011-07-25,1984-2006,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,WAREHOUSE.pdf,1,1,SS2,Used 2007_1.00 of SS2,../spreadsheets/Fulton-west_blue_warehou-australia-2007_v2-editedDR-QAQC.xls,yes
WGHMM-SOLEVIII-1982-2006-JENNINGS,WGHMM,SOLEVIII,JENNINGS,2008-11-23,2011-07-25,1982-2006,http://www.ices.dk,NULL,NULL,ICES-WGHMM-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-SOLBISC-1984-2007-editedDR-QAQC.xls,yes
NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN,NZMFishMIDDEPTHSWG,NZLINGLIN7WC,JENSEN,2009-03-09,2011-07-25,1972-2008,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,base model,CORDUEperscomm.pdf,1,1,CASAL,,../spreadsheets/JENSEN-PINKLINGNZ7WC-2008-v2-editedDR.xls,yes
SPC-SKJCWPAC-1972-2006-JENSEN,SPC,SKJCWPAC,JENSEN,2008-11-18,2011-07-25,1972-2006,received from Simon Hoyle,"Simon Hoyle (SimonH@spc.int), John Hampton (JohnH@spc.int)","data are from MULTIFAN-CL output files, not the assessment document - appears to be ""equatorial"" model run",SC4-SA-WP4-SKJ-Assessment-rev1-skipjack.pdf,1,1,MULTIFAN-CL,"Simon Hoyle says: ""I would not use these results for SRR [stock-recruit analysis] because I do not trust the recruitment trends""",../spreadsheets/JENSEN-SKJCWPAC-2008-editedDR-OJ-QAQC.xls,yes
AFWG-CODNEAR-1943-2006-MINTO,AFWG,CODNEAR,MINTO,2008-02-15,2011-07-25,1943-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,,Coilin first entry,ICES-AFWG-2007.pdf,1,1,VPA,Two time series are provided (NOR=1 and RUS=2) for Norwegian and Russian methods of estimating unreported catches since 2002. The results are very similar.,../spreadsheets/MINTO-CODNEAR-2007-editedDR-QAQC.xls,yes
SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET,SEFSC,FTOOTHSHARATL,FAUCONNET,2009-05-07,2011-07-25,1976-2005,http://www.sefsc.noaa.gov/sedar/,,,SmallcoastalAtl2007-SEFSC.pdf,1,1,BBM,Bayesian Surplus Production Model,../spreadsheets/FAUCONNET-FTOOTHSHARATL-2007-editedDR.xls,yes
AFSC-NRSOLEEBSAI-1971-2008-STANTON,AFSC,NRSOLEEBSAI,STANTON,2009-04-06,2011-07-25,1971-2008,http://www.afsc.noaa.gov/refm/Stocks/assessments.htm,contact details ,,2008_SAFE_BSAIrocksole.pdf,1,1,AD-CAM,no comments,../spreadsheets/STANTON-NRSOLEEBSAI-2008-editedDR-QAQC.xls,yes
WGHMM-MEG8c9a-1985-2007-JENNINGS,WGHMM,MEG8c9a,JENNINGS,2008-11-24,2011-07-25,1985-2007,http://www.ices.dk,NULL,NULL,ICES-WGHMM-2007.pdf,1,0,XSA,NULL,../spreadsheets/JENNINGS-ICES-MGW8C9A-1986-2007-editedDR-QAQC.xls,yes
ASMFC-LOBSTERGOM-1981-2007-STANTON,ASMFC,LOBSTERGOM,STANTON,2009-08-12,2011-07-25,1981-2007,http://www.asmfc.org/,contact details ,,2009-ASMFC-Am-Lob.pdf,1,1,CSM,no comments,../spreadsheets/STANTON-LOBSTER5Y-editedDR.xls,yes
SEFSC-MENATGM-1964-2004-GILROY,SEFSC,MENATGM,GILROY,2009-02-16,2011-07-27,1964-2004,Received from contact,Doug Vaughan - Doug.Vaughan@noaa.gov,,GILROY-MENHADENGM-2007.pdf,1,1,SCA,no comments,../spreadsheets/GILROY-MENHADENGM-2007-editedDR.xls,yes
SEFSC-SBARSHARATL-1975-2004-FAUCONNET,SEFSC,SBARSHARATL,FAUCONNET,2009-04-29,2011-07-25,1975-2004,http://www.sefsc.noaa.gov/sedar/,,,LargeCoastalAtl2006-SEFSC.pdf,1,1,SPASM,,../spreadsheets/FAUCONNET-SBARSHARATL-2006-editedDR.xls,yes
WGBFAS-SPRAT22-32-1973-2007-JENNINGS,WGBFAS,SPRAT22-32,JENNINGS,2008-11-19,2011-07-25,1973-2007,http://www.ices.dk,NULL,NULL,ICES-WGBFAS-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-SPR2232-1974-2007-editedDR-QAQC.xls,yes
IOTC-BIGEYEIO-1957-2006-JENSEN,IOTC,BIGEYEIO,JENSEN,2009-04-08,2011-07-25,1957-2006,http://www.iotc.org/files/proceedings/2007/sc/IOTC-2007-SC-R%5BE%5D.pdf,,SSB and F timeseries taken from figures,JENSEN-BIGEYEIO-2007.pdf,1,0,ASPM,,../spreadsheets/JENSEN-BIGEYEIO-2007-editedDR.xls,yes
NWFSC-PSOLENPCOAST-1910-2005-STANTON,NWFSC,PSOLENPCOAST,STANTON,2009-05-20,2011-07-25,1910-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details ,NORTH part of PCOAST only. Separate assessment for South part,ref2004-SAFE-WCpetralesole.pdf,1,1,SS2,no comments,../spreadsheets/STANTON-NorthPetraleSole-2004-editedDR.xls,yes
NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH,NWFSC,LNOSESKAPCOAST,BRANCH,2008-11-23,2011-07-26,1915-2007,http://www.pcouncil.org/groundfish/gfsafe1008/LongnoseSkate_2007_FINAL.pdf,,,NWFSC-LNOSESKAPCOAST-2008-Longnose skate.pdf,1,1,SS2,,../spreadsheets/BRANCH-LNOSESKAPCOAST-2007-editedDR-QAQC-summarybiomass.xls,yes
NEFSC-POLL5YZ-1963-2007-MAYO,NEFSC,POLL5YZ,MAYO,2009-04-20,2011-07-25,1963-2007,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,Stock under rebuilding program with 2018 deadline.,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/crd0815.pdf,1,1,AIM,no comments,../spreadsheets/MAYO-POLLOCK-5YZ-2008-editedOJ.xls,yes
